step,epoch,loss,learning_rate,grad_norm,gpu_mem_used_gb,timestamp
1,0.087,2.70972,0.0,1.13827,4.95,2026-09-21T06:59:08.964937Z
2,0.1739,2.65512,0.0001,1.19184,5.3,2026-09-21T06:59:17.689666Z
3,0.2609,2.55119,9.09091e-05,1.13599,5.3,2026-09-21T06:59:26.095055Z
4,0.3478,2.44658,8.18182e-05,1.28328,5.32,2026-09-21T06:59:34.505050Z
5,0.4348,2.52159,7.27273e-05,1.27017,5.32,2026-09-21T06:59:43.102410Z
6,0.5217,2.31398,6.36364e-05,1.18873,5.32,2026-09-21T06:59:51.241173Z
7,0.6087,2.08827,5.45455e-05,1.0457,5.32,2026-09-21T06:59:59.240801Z
8,0.6957,2.08666,4.54545e-05,0.938679,5.32,2026-09-21T07:00:07.437662Z
9,0.7826,2.14479,3.63636e-05,0.77182,5.32,2026-09-21T07:00:15.337414Z
10,0.8696,2.01319,2.72727e-05,0.568514,5.48,2026-09-21T07:00:24.851394Z
11,0.9565,1.88867,1.81818e-05,0.521915,5.48,2026-09-21T07:00:33.488614Z
12,1.0,1.97774,9.09091e-06,0.63206,5.48,2026-09-21T07:00:37.427912Z
